name,owner,stargazerCount,created_at,time_since_created_at_in_seconds,pull_requests_accepted,releases_count,last_updated,current_date,time_since_last_update_in_seconds,primary_language,primary_language_mapping,total_issues,closed_issues,closed_issues_ratio
freeCodeCamp,freeCodeCamp,400076,2014-12-24T17:49:19Z,305790728.836757,22884,0,2024-09-01T23:11:26Z,2024-09-01 23:41:27.836757+00:00,1801.836757,TypeScript,0.0,18207,18017,0.9895644532322733
free-programming-books,EbookFoundation,332804,2013-10-11T06:50:37Z,343759850.836757,6488,0,2024-09-01T23:35:25Z,2024-09-01 23:41:27.836757+00:00,362.836757,,,1095,1069,0.9762557077625571
awesome,sindresorhus,322166,2014-07-11T13:42:37Z,320147930.836757,651,0,2024-09-01T23:36:57Z,2024-09-01 23:41:27.836757+00:00,270.836757,,,340,327,0.961764705882353
public-apis,public-apis,311360,2016-03-20T23:49:42Z,266716305.836757,1872,0,2024-09-01T23:01:28Z,2024-09-01 23:41:27.836757+00:00,2399.836757,Python,1.0,601,587,0.9767054908485857
coding-interview-university,jwasham,303427,2016-06-06T02:34:12Z,260053635.836757,412,0,2024-09-01T23:34:55Z,2024-09-01 23:41:27.836757+00:00,392.836757,,,440,394,0.8954545454545455
build-your-own-x,codecrafters-io,297737,2018-05-09T12:03:18Z,199366689.836757,139,0,2024-09-01T23:39:12Z,2024-09-01 23:41:27.836757+00:00,135.836757,,,664,482,0.7259036144578314
developer-roadmap,kamranahmedse,289889,2017-03-15T13:45:52Z,235648535.836757,2698,1,2024-09-01T23:40:31Z,2024-09-01 23:41:27.836757+00:00,56.836757,TypeScript,0.0,2220,2145,0.9662162162162162
996.ICU,996icu,269647,2019-03-26T07:31:14Z,171648613.836757,1066,0,2024-09-01T21:58:08Z,2024-09-01 23:41:27.836757+00:00,6199.836757,,,0,0,
system-design-primer,donnemartin,268489,2017-02-26T16:15:28Z,237108359.836757,198,0,2024-09-01T23:16:37Z,2024-09-01 23:41:27.836757+00:00,1490.836757,Python,1.0,295,84,0.2847457627118644
react,facebook,226900,2013-05-24T16:15:54Z,355821933.836757,10725,101,2024-09-01T23:38:28Z,2024-09-01 23:41:27.836757+00:00,179.836757,JavaScript,2.0,13099,12434,0.9492327658599893
awesome-python,vinta,217397,2014-06-27T21:00:06Z,321331281.836757,543,0,2024-09-01T23:36:56Z,2024-09-01 23:41:27.836757+00:00,271.836757,Python,1.0,0,0,
vue,vuejs,207636,2013-07-29T03:24:51Z,350165796.836757,1135,249,2024-09-01T21:16:07Z,2024-09-01 23:41:27.836757+00:00,8720.836757,TypeScript,0.0,10016,9661,0.9645567092651757
project-based-learning,practical-tutorials,194885,2017-04-12T05:07:46Z,233260421.836757,182,0,2024-09-01T23:38:58Z,2024-09-01 23:41:27.836757+00:00,149.836757,,,167,70,0.41916167664670656
awesome-selfhosted,awesome-selfhosted,192921,2015-06-01T02:33:17Z,292108090.836757,2392,1,2024-09-01T23:36:59Z,2024-09-01 23:41:27.836757+00:00,268.836757,,,804,804,1.0
javascript-algorithms,trekhleb,186565,2018-03-24T07:47:04Z,203356463.836757,299,0,2024-09-01T23:22:16Z,2024-09-01 23:41:27.836757+00:00,1151.836757,JavaScript,2.0,351,223,0.6353276353276354
tensorflow,tensorflow,185272,2015-11-07T01:19:20Z,278374927.836757,22725,208,2024-09-01T21:13:00Z,2024-09-01 23:41:27.836757+00:00,8907.836757,C++,3.0,39687,37981,0.9570136316678005
Python,TheAlgorithms,183785,2016-07-16T09:44:01Z,256571846.836757,2799,0,2024-09-01T22:58:12Z,2024-09-01 23:41:27.836757+00:00,2595.836757,Python,1.0,1458,1431,0.9814814814814815
You-Dont-Know-JS,getify,178764,2013-11-16T02:37:24Z,340664643.836757,367,0,2024-09-01T23:03:22Z,2024-09-01 23:41:27.836757+00:00,2285.836757,,,925,846,0.9145945945945946
linux,torvalds,177525,2011-09-04T22:48:12Z,410057595.836757,10,0,2024-09-01T23:02:06Z,2024-09-01 23:41:27.836757+00:00,2361.836757,C,4.0,0,0,
CS-Notes,CyC2018,174477,2018-02-13T14:56:24Z,206700303.836757,374,0,2024-09-01T21:58:06Z,2024-09-01 23:41:27.836757+00:00,6201.836757,,,563,446,0.7921847246891652
ohmyzsh,ohmyzsh,172121,2009-08-28T18:15:37Z,473750750.836757,3195,0,2024-09-01T23:36:26Z,2024-09-01 23:41:27.836757+00:00,301.836757,Shell,5.0,4798,4678,0.9749895789912464
bootstrap,twbs,169890,2011-07-29T21:19:00Z,413259747.836757,8782,89,2024-09-01T20:45:21Z,2024-09-01 23:41:27.836757+00:00,10566.836757,JavaScript,2.0,22476,22026,0.9799786438868126
computer-science,ossu,167948,2014-05-04T00:18:39Z,326071368.836757,267,0,2024-09-01T23:30:05Z,2024-09-01 23:41:27.836757+00:00,682.836757,,,636,620,0.9748427672955975
AutoGPT,Significant-Gravitas,166182,2023-03-16T09:21:07Z,46275620.836757,1889,21,2024-09-01T22:50:29Z,2024-09-01 23:41:27.836757+00:00,3058.836757,Python,1.0,2579,2439,0.9457153935633966
flutter,flutter,164333,2015-03-06T22:54:58Z,299551589.836757,38754,7,2024-09-01T21:58:09Z,2024-09-01 23:41:27.836757+00:00,6198.836757,Dart,6.0,97964,85482,0.8725858478624801
vscode,microsoft,162022,2015-09-03T20:23:38Z,283922269.836757,27004,139,2024-09-01T23:12:37Z,2024-09-01 23:41:27.836757+00:00,1730.836757,TypeScript,0.0,182193,172933,0.949174776198866
gitignore,github,160801,2010-11-08T20:17:14Z,435986653.836757,1549,0,2024-09-01T23:39:35Z,2024-09-01 23:41:27.836757+00:00,112.836757,,,0,0,
Python-100-Days,jackfrued,154306,2018-03-01T16:05:52Z,205313735.836757,13,0,2024-09-01T21:59:21Z,2024-09-01 23:41:27.836757+00:00,6126.836757,Python,1.0,639,110,0.17214397496087636
the-art-of-command-line,jlevy,151999,2015-05-20T15:11:03Z,293099424.836757,317,0,2024-09-01T23:15:47Z,2024-09-01 23:41:27.836757+00:00,1540.836757,,,251,132,0.5258964143426295
JavaGuide,Snailclimb,145673,2018-05-07T13:27:00Z,199534467.836757,1042,0,2024-09-01T21:17:52Z,2024-09-01 23:41:27.836757+00:00,8615.836757,Java,7.0,1039,973,0.9364773820981713
javascript,airbnb,144431,2012-11-01T23:13:50Z,373422457.836757,804,0,2024-09-01T21:33:03Z,2024-09-01 23:41:27.836757+00:00,7704.836757,JavaScript,2.0,1326,1234,0.9306184012066365
the-book-of-secret-knowledge,trimstray,142244,2018-06-23T10:43:14Z,195483493.836757,122,0,2024-09-01T23:33:00Z,2024-09-01 23:41:27.836757+00:00,507.836757,,,0,0,
stable-diffusion-webui,AUTOMATIC1111,138881,2022-08-22T14:05:26Z,64056961.836757,1829,26,2024-09-01T23:41:30Z,2024-09-01 23:41:27.836757+00:00,-2.163243,Python,1.0,7620,5395,0.708005249343832
transformers,huggingface,131431,2018-10-29T13:56:00Z,184412727.836757,13231,164,2024-09-01T23:23:30Z,2024-09-01 23:41:27.836757+00:00,1077.836757,Python,1.0,15591,14581,0.9352190366236932
youtube-dl,ytdl-org,131101,2010-10-31T14:35:07Z,436698380.836757,1636,341,2024-09-01T23:17:28Z,2024-09-01 23:41:27.836757+00:00,1439.836757,Python,1.0,26593,22887,0.8606400180498628
awesome-go,avelino,128002,2014-07-06T13:42:15Z,320579952.836757,3237,0,2024-09-01T23:40:17Z,2024-09-01 23:41:27.836757+00:00,70.836757,Go,8.0,647,645,0.9969088098918083
fucking-algorithm,labuladong,124808,2020-02-19T09:01:23Z,143131204.836757,238,1,2024-09-01T17:01:05Z,2024-09-01 23:41:27.836757+00:00,24022.836757,Markdown,9.0,830,830,1.0
next.js,vercel,124527,2016-10-05T23:32:51Z,249523716.836757,18064,1000,2024-09-01T23:23:25Z,2024-09-01 23:41:27.836757+00:00,1082.836757,JavaScript,2.0,21082,18186,0.8626316288777156
go,golang,122591,2014-08-19T04:33:40Z,316811267.836757,1,0,2024-09-01T23:02:49Z,2024-09-01 23:41:27.836757+00:00,2318.836757,Go,8.0,63151,54022,0.8554417190543301
30-seconds-of-code,Chalarangelo,120947,2017-11-29T17:35:03Z,213257184.836757,817,10,2024-09-01T20:57:47Z,2024-09-01 23:41:27.836757+00:00,9820.836757,JavaScript,2.0,294,294,1.0
react-native,facebook,117820,2015-01-09T18:10:16Z,304407071.836757,848,336,2024-09-01T20:44:05Z,2024-09-01 23:41:27.836757+00:00,10642.836757,C++,3.0,25999,25414,0.9774991345820994
tech-interview-handbook,yangshun,116295,2016-07-05T05:00:48Z,257539239.836757,459,0,2024-09-01T23:24:16Z,2024-09-01 23:41:27.836757+00:00,1031.836757,TypeScript,0.0,93,62,0.6666666666666666
electron,electron,113585,2013-04-12T01:47:36Z,359502831.836757,20111,1000,2024-09-01T23:24:11Z,2024-09-01 23:41:27.836757+00:00,1036.836757,C++,3.0,19989,19130,0.9570263645004753
free-programming-books-zh_CN,justjavac,110974,2013-11-04T01:59:19Z,341703728.836757,282,3,2024-09-01T21:17:36Z,2024-09-01 23:41:27.836757+00:00,8631.836757,,,0,0,
kubernetes,kubernetes,109542,2014-06-06T22:56:04Z,323138723.836757,59245,690,2024-09-01T23:03:29Z,2024-09-01 23:41:27.836757+00:00,2278.836757,Go,8.0,45698,43834,0.9592104687294849
awesome-chatgpt-prompts,f,108893,2022-12-05T13:54:13Z,54985634.836757,117,0,2024-09-01T23:39:25Z,2024-09-01 23:41:27.836757+00:00,122.836757,HTML,10.0,0,0,
PowerToys,microsoft,108500,2019-05-01T17:44:02Z,168501445.836757,4789,101,2024-09-01T22:32:30Z,2024-09-01 23:41:27.836757+00:00,4137.836757,C#,11.0,28922,22973,0.7943088306479497
d3,d3,108367,2010-09-27T17:22:42Z,439625925.836757,485,194,2024-09-01T23:00:22Z,2024-09-01 23:41:27.836757+00:00,2465.836757,Shell,5.0,2202,2196,0.997275204359673
scrcpy,Genymobile,108243,2017-11-21T18:00:27Z,213946860.836757,85,39,2024-09-01T22:45:12Z,2024-09-01 23:41:27.836757+00:00,3375.836757,C,4.0,4700,2759,0.5870212765957447
node,nodejs,106303,2014-11-26T19:57:11Z,308202256.836757,8671,404,2024-09-01T22:03:24Z,2024-09-01 23:41:27.836757+00:00,5883.836757,JavaScript,2.0,18070,16483,0.912174875484228
axios,axios,105085,2014-08-18T22:30:27Z,316833060.836757,872,84,2024-09-01T16:30:47Z,2024-09-01 23:41:27.836757+00:00,25840.836757,JavaScript,2.0,4662,4031,0.8646503646503646
create-react-app,facebook,102488,2016-07-17T14:55:11Z,256466776.836757,1945,83,2024-09-01T21:18:03Z,2024-09-01 23:41:27.836757+00:00,8604.836757,JavaScript,2.0,8304,6545,0.788174373795761
three.js,mrdoob,101427,2010-03-23T18:58:01Z,455863406.836757,12892,160,2024-09-01T23:15:12Z,2024-09-01 23:41:27.836757+00:00,1575.836757,JavaScript,2.0,12490,12092,0.9681345076060849
TypeScript,microsoft,99903,2014-06-17T15:28:39Z,322215168.836757,14321,199,2024-09-01T21:00:12Z,2024-09-01 23:41:27.836757+00:00,9675.836757,TypeScript,0.0,40740,35488,0.8710849288168876
nodebestpractices,goldbergyoni,99150,2017-09-15T08:33:19Z,219769688.836757,765,0,2024-09-01T21:18:45Z,2024-09-01 23:41:27.836757+00:00,8562.836757,Dockerfile,12.0,322,283,0.8788819875776398
GitHub-Chinese-Top-Charts,GrowingGit,97998,2019-09-05T03:01:56Z,157581571.836757,0,0,2024-09-01T20:08:55Z,2024-09-01 23:41:27.836757+00:00,12752.836757,Java,7.0,349,157,0.4498567335243553
